StreetAddress,CityZip,State
007 Del Mar Park,Dormansville_12055,NY
5921 Rieder Place,Knox_12107,NY
16 Lotheville Avenue,Albany_12207,NY
7516 Lerdahl Point,Albany_12224,NY
006 John Wall Plaza,Glenmont_12077,NY
628 Haas Park,Watervliet_12189,NY
7612 Eagan Park,Albany_12206,NY
9 Novick Parkway,Feura Bush_12067,NY
9 Stephen Alley,Guilderland_12084,NY
069 6th Center,Preston Hollow_12469,NY
518 Annamark Park,Ravena_12143,NY
3381 Commercial Circle,Albany_12208,NY
33054 Village Green Drive,Troy_12183,NY
51 Union Lane,Albany_12209,NY
551 Grayhawk Pass,Albany_12247,NY
01 Lake View Park,Preston Hollow_12469,NY
3 Maple Alley,Albany_12223,NY
52725 Bunting Circle,South Bethlehem_12161,NY
76 Killdeer Circle,Alcove_12007,NY
89215 Morrow Road,Glenmont_12077,NY
547 Debra Drive,Albany_12207,NY
14 Katie Place,Albany_12206,NY
5433 Golf View Circle,Menands_12204,NY
524 Cascade Park,Albany_12210,NY
743 Northview Hill,Slingerlands_12159,NY
28084 Raven Crossing,Albany_12260,NY
1107 Hoard Street,Albany_12206,NY
04 Tennyson Lane,Siena_12211,NY
7 Pepper Wood Way,Green Island_12183,NY
8 Coolidge Court,Albany_12206,NY
482 Bonner Road,Albany_12212,NY
29 Jenna Road,Selkirk_12158,NY
612 East Terrace,Coeymans Hollow_12046,NY
90073 Vahlen Trail,Delmar_12054,NY
996 Hoepker Hill,Mckownville_12203,NY
10279 Dexter Crossing,Albany_12225,NY
6 Tony Point,Albany_12220,NY
378 Sommers Lane,Albany_12209,NY
819 John Wall Trail,Colonie_12205,NY
6906 Declaration Point,Loudonville_12211,NY
1150 Gulseth Lane,Slingerlands_12159,NY
0806 Buell Point,Watervliet_12189,NY
84131 Hintze Court,Coeymans Hollow_12046,NY
39 Nancy Parkway,Albany_12260,NY
93 Hagan Circle,Albany_12204,NY
91 Dixon Plaza,Selkirk_12158,NY
486 Rieder Center,Latham_12110,NY
2 Porter Alley,Albany_12209,NY
9304 Express Park,Selkirk_12158,NY
977 Ridgeway Drive,Albany_12225,NY
681 Johnson Circle,Dormansville_12055,NY
1666 Starling Point,Roessleville_12205,NY
82429 Bartelt Terrace,Colonie_12205,NY
91507 Kipling Way,Cohoes_12047,NY
5889 Monica Road,Coeymans_12045,NY
6937 Russell Alley,Medusa_12120,NY
685 Everett Crossing,Green Island_12183,NY
71 Maple Wood Alley,Clarksville_12041,NY
711 Warrior Road,Loudonville_12211,NY
138 American Ash Avenue,Alcove_12007,NY
18 Helena Center,East Berne_12059,NY
05 Mayer Circle,Albany_12247,NY
32173 Maple Court,Albany_12260,NY
5744 Graceland Plaza,Medusa_12120,NY
0585 Arkansas Road,Albany_12206,NY
05417 Namekagon Terrace,Albany_12223,NY
3 Garrison Trail,Albany_12209,NY
9701 Brickson Park Hill,Albany_12206,NY
2 Lindbergh Road,Albany_12203,NY
41 Gateway Way,Altamont_12009,NY
496 Quincy Point,Albany_12211,NY
6 Nelson Plaza,Feura Bush_12067,NY
3 Swallow Court,Loudonville_12211,NY
401 Bay Place,Albany_12206,NY
86293 Dunning Park,Albany_12205,NY
242 Mcguire Way,Albany_12220,NY
1 Hanover Crossing,Albany_12212,NY
972 Goodland Avenue,Clarksville_12041,NY
01 Oxford Street,Albany_12202,NY
8124 Mesta Circle,Albany_12204,NY
49 Basil Parkway,Dormansville_12055,NY
77245 Garrison Park,Albany_12205,NY
1 Meadow Vale Crossing,Delmar_12054,NY
9 Ryan Trail,Albany_12204,NY
42561 Delladonna Terrace,Menands_12204,NY
95274 Raven Place,Coeymans Hollow_12046,NY
69 Susan Lane,Albany_12224,NY
2298 Park Meadow Hill,Albany_12247,NY
83073 Spaight Circle,Loudonville_12211,NY
501 Memorial Crossing,Albany_12225,NY
76 Comanche Pass,Albany_12247,NY
4548 Dunning Trail,Guilderland Center_12085,NY
490 Alpine Point,Medusa_12120,NY
38963 Schlimgen Hill,Coeymans Hollow_12046,NY
7681 Roxbury Park,Preston Hollow_12469,NY
4208 Crescent Oaks Park,South Bethlehem_12161,NY
15822 Sullivan Center,Albany_12225,NY
8451 3rd Center,Albany_12210,NY
10 Oak Valley Parkway,Newtonville_12110,NY
205 Troy Pass,South Bethlehem_12161,NY
722 Sugar Way,Albany_12204,NY
6 Orin Crossing,Guilderland Center_12085,NY
13 Everett Parkway,Rensselaerville_12147,NY
23 Bobwhite Junction,Albany_12208,NY
69745 Westerfield Junction,Albany_12209,NY
052 Talmadge Plaza,Preston Hollow_12469,NY
83 Debra Plaza,Albany_12247,NY
9 Jenifer Hill,Albany_12207,NY
7990 Ridgeway Park,Albany_12226,NY
38233 Weeping Birch Crossing,Albany_12201,NY
4801 Hoepker Park,Albany_12224,NY
772 Dryden Pass,Albany_12211,NY
37 Hooker Parkway,Albany_12212,NY
56 Holmberg Junction,Mckownville_12203,NY
7268 Bartelt Plaza,Dormansville_12055,NY
3462 Bellgrove Road,Selkirk_12158,NY
13711 Chinook Plaza,Feura Bush_12067,NY
2411 Stone Corner Way,Latham_12128,NY
7411 Huxley Lane,Albany_12208,NY
4451 Summer Ridge Trail,Albany_12208,NY
5397 Summer Ridge Alley,Albany_12208,NY
04149 8th Hill,Latham_12110,NY
77 David Drive,Selkirk_12158,NY
4 Hansons Road,Newtonville_12110,NY
897 Leroy Park,Albany_12204,NY
3 Bartelt Plaza,Altamont_12009,NY
4 Jana Street,Delmar_12054,NY
8 Esch Court,Albany_12204,NY
0161 Hoard Court,Ravena_12143,NY
856 Sachs Road,Roessleville_12205,NY
1 Holy Cross Park,Albany_12205,NY
00213 Sutteridge Plaza,Albany_12227,NY
75662 Tennessee Circle,Albany_12247,NY
3489 Ridge Oak Circle,Rensselaerville_12147,NY
97 Pearson Trail,South Bethlehem_12161,NY
37997 Calypso Court,Siena_12211,NY
6 Nova Drive,Loudonville_12211,NY
31242 Lakewood Gardens Drive,Albany_12203,NY
63026 Walton Crossing,Clarksville_12041,NY
2 Banding Pass,Preston Hollow_12469,NY
63 Eastwood Junction,Selkirk_12158,NY
38 Stephen Avenue,Clarksville_12041,NY
9 Waxwing Terrace,Voorheesville_12186,NY
431 Merry Plaza,Feura Bush_12067,NY
00491 Shelley Plaza,Albany_12212,NY
3 Talisman Terrace,Ravena_12143,NY
9 Cottonwood Trail,Albany_12203,NY
26 Graceland Trail,Rensselaerville_12147,NY
08501 Paget Avenue,Albany_12204,NY
2184 Badeau Plaza,Knox_12107,NY
1875 Logan Center,Albany_12226,NY
7580 Stang Pass,Albany_12203,NY
71 International Plaza,Newtonville_12128,NY
60 Lerdahl Plaza,Latham_12110,NY
98441 Forest Dale Alley,Cohoes_12047,NY
62 Carberry Point,South Bethlehem_12161,NY
72950 Hazelcrest Way,Glenmont_12077,NY
09566 Shelley Avenue,Medusa_12120,NY
7796 Knutson Way,Medusa_12120,NY
7 Veith Pass,Albany_12210,NY
5 Porter Road,Albany_12223,NY
45965 Del Sol Point,Clarksville_12041,NY
86 Rusk Crossing,Albany_12209,NY
502 Karstens Alley,Guilderland_12084,NY
03 Rieder Plaza,Albany_12260,NY
4 Dawn Hill,Albany_12227,NY
91 Sheridan Terrace,Albany_12225,NY
4751 3rd Alley,Slingerlands_12159,NY
489 Lighthouse Bay Street,Loudonville_12211,NY
71077 Lerdahl Parkway,Selkirk_12158,NY
259 Bashford Court,Slingerlands_12159,NY
7 Cordelia Park,Newtonville_12110,NY
98 Rigney Point,Albany_12207,NY
5 Scoville Place,Guilderland Center_12085,NY
4214 Green Center,Albany_12207,NY
7833 Erie Place,Glenmont_12077,NY
1358 Autumn Leaf Junction,East Berne_12059,NY
079 Twin Pines Drive,Loudonville_12211,NY
5 Mcguire Street,Albany_12220,NY
76 Anderson Trail,South Bethlehem_12161,NY
8875 Schiller Park,Albany_12204,NY
06220 Independence Alley,Voorheesville_12186,NY
06736 Oakridge Trail,Feura Bush_12067,NY
9374 Ilene Point,Albany_12209,NY
6 Garrison Street,Albany_12209,NY
51 Northridge Parkway,Guilderland Center_12085,NY
15329 Rowland Hill,South Bethlehem_12161,NY
9612 Park Meadow Parkway,Albany_12207,NY
3400 Muir Alley,Albany_12204,NY
250 Mifflin Circle,Slingerlands_12159,NY
1 Trailsway Place,Colonie_12205,NY
08744 Schurz Plaza,Guilderland Center_12085,NY
73 Dexter Place,Medusa_12120,NY
55932 Glendale Parkway,Albany_12226,NY
0 Warbler Terrace,Delmar_12054,NY
5065 Derek Alley,Albany_12225,NY
4792 Lake View Way,Albany_12223,NY
5534 Graedel Pass,Loudonville_12211,NY
90 Portage Alley,Coeymans Hollow_12046,NY
958 Kensington Point,Watervliet_12189,NY
621 Bartelt Drive,Albany_12220,NY
64350 Ridgeway Street,Albany_12247,NY
800 Twin Pines Road,Albany_12205,NY
8 Sommers Hill,Loudonville_12211,NY
91425 Talisman Center,Slingerlands_12159,NY
5264 Russell Center,Medusa_12120,NY
4 Brentwood Park,Berne_12023,NY
0 Lakewood Drive,South Bethlehem_12161,NY
7281 High Crossing Street,Clarksville_12041,NY
1 Helena Place,Colonie_12205,NY
65 Little Fleur Alley,Dormansville_12055,NY
88253 Sheridan Court,Voorheesville_12186,NY
15 Crownhardt Center,Albany_12226,NY
472 Trailsway Point,Albany_12202,NY
264 Crest Line Avenue,Latham_12110,NY
4 Columbus Circle,Albany_12209,NY
80119 Commercial Road,South Bethlehem_12161,NY
9103 Coolidge Park,Colonie_12205,NY
32810 Westend Terrace,Albany_12202,NY
79 Monica Park,Menands_12204,NY
7 Gina Lane,Coeymans Hollow_12046,NY
15 Vidon Center,Albany_12205,NY
971 Thierer Terrace,Troy_12183,NY
1 Reindahl Place,Albany_12224,NY
27013 School Park,Albany_12210,NY
66 Arkansas Street,Altamont_12009,NY
5876 6th Way,Medusa_12120,NY
62140 Nova Pass,Loudonville_12211,NY
2 Blue Bill Park Terrace,Albany_12223,NY
2 Roth Junction,Berne_12023,NY
5 Lawn Center,Green Island_12183,NY
183 Anhalt Terrace,Albany_12220,NY
6 Summer Ridge Hill,Albany_12201,NY
28769 Dovetail Trail,Loudonville_12211,NY
5 Roth Terrace,Albany_12209,NY
8 Anniversary Parkway,Troy_12183,NY
430 Russell Junction,Albany_12206,NY
44029 North Plaza,Albany_12210,NY
385 Maple Trail,Albany_12212,NY
9 Homewood Plaza,Medusa_12120,NY
0 Sherman Drive,Newtonville_12128,NY
71097 Morningstar Junction,Green Island_12183,NY
8780 Westport Point,Watervliet_12189,NY
7 Fieldstone Center,Albany_12225,NY
29 Novick Court,Cohoes_12047,NY
171 Onsgard Plaza,Albany_12223,NY
2 Myrtle Court,Mckownville_12203,NY
50 Straubel Point,Slingerlands_12159,NY
5045 Kim Road,Watervliet_12189,NY
7 Sachtjen Road,Guilderland_12084,NY
640 Leroy Road,Slingerlands_12159,NY
2509 Summer Ridge Alley,Menands_12204,NY
8 Sherman Lane,Albany_12206,NY
3 Cordelia Avenue,Albany_12206,NY
163 Portage Park,Ravena_12143,NY
39 Aberg Crossing,Clarksville_12041,NY
64 School Lane,Albany_12202,NY
95106 Jenna Parkway,Rensselaerville_12147,NY
0 Monterey Road,East Berne_12059,NY
23700 Village Green Court,Latham_12128,NY
34 Pankratz Plaza,Glenmont_12077,NY
78 Bowman Road,Coeymans_12045,NY
61 Katie Street,Albany_12260,NY
862 Lindbergh Road,Albany_12224,NY
918 Judy Park,Albany_12209,NY
886 Golf Crossing,Ravena_12143,NY
683 Fordem Drive,Albany_12247,NY
335 Bowman Point,Berne_12023,NY
7129 Vermont Road,Albany_12227,NY
9018 Lakewood Gardens Court,Siena_12211,NY
644 Nelson Junction,Mckownville_12203,NY
28 Eagan Lane,Albany_12202,NY
4206 Riverside Center,Albany_12204,NY
4881 Spohn Street,Delmar_12054,NY
800 Mallory Drive,Glenmont_12077,NY
9395 Kensington Street,Albany_12220,NY
24907 Magdeline Junction,Coeymans_12045,NY
6637 Esker Point,Siena_12211,NY
85561 Meadow Ridge Parkway,Albany_12207,NY
16568 John Wall Court,Siena_12211,NY
1 Linden Pass,Albany_12206,NY
647 New Castle Crossing,Albany_12227,NY
7 Crescent Oaks Avenue,Colonie_12205,NY
957 Arapahoe Trail,Albany_12204,NY
31589 Loftsgordon Trail,Albany_12211,NY
89736 Corben Avenue,Cohoes_12047,NY
86 Sauthoff Terrace,Glenmont_12077,NY
68389 Rusk Plaza,Watervliet_12189,NY
158 Esker Crossing,Coeymans Hollow_12046,NY
2877 Sloan Street,Albany_12227,NY
3 Ruskin Center,Albany_12203,NY
7 Holy Cross Place,Glenmont_12077,NY
1067 Blackbird Pass,Albany_12260,NY
28877 Alpine Circle,Coeymans_12045,NY
1 Manufacturers Place,Albany_12225,NY
099 Raven Drive,Albany_12226,NY
560 Anzinger Circle,Ravena_12143,NY
24287 Welch Center,Cohoes_12047,NY
415 Lerdahl Circle,Watervliet_12189,NY
0624 Dawn Point,Green Island_12183,NY
258 High Crossing Center,Dormansville_12055,NY
57 Carioca Plaza,Knox_12107,NY
6642 Londonderry Court,Albany_12224,NY
697 Muir Lane,Albany_12227,NY
803 Pleasure Point,Delmar_12054,NY
54 Rockefeller Road,Slingerlands_12159,NY
0790 Goodland Pass,Berne_12023,NY
4 Anniversary Street,Albany_12227,NY
6 Ryan Street,Delmar_12054,NY
56 Moose Hill,Clarksville_12041,NY
31 Forest Street,Selkirk_12158,NY
06736 Grayhawk Point,Mckownville_12203,NY
9 Ronald Regan Avenue,Preston Hollow_12469,NY
6 Portage Pass,Albany_12206,NY
855 Main Plaza,Guilderland_12084,NY
380 Charing Cross Hill,Albany_12211,NY
9 Rockefeller Alley,Delmar_12054,NY
172 Lake View Hill,Newtonville_12110,NY
48 Bluestem Street,Albany_12247,NY
73291 Rowland Junction,Albany_12208,NY
75363 Merchant Alley,South Bethlehem_12161,NY
66 Blackbird Hill,Coeymans_12045,NY
97 Transport Trail,Delmar_12054,NY
02850 Hovde Drive,Slingerlands_12159,NY
3480 Dovetail Court,South Bethlehem_12161,NY
4172 Fallview Place,Newtonville_12128,NY
0596 Knutson Trail,Preston Hollow_12469,NY
9 Gale Center,Rensselaerville_12147,NY
888 Starling Junction,South Bethlehem_12161,NY
28008 Commercial Terrace,Slingerlands_12159,NY
1070 Towne Street,Alcove_12007,NY
0137 Elgar Circle,Clarksville_12041,NY
8853 Claremont Lane,Berne_12023,NY
3 Dwight Crossing,Albany_12223,NY
46 Loftsgordon Trail,Albany_12210,NY
80 Jackson Circle,Voorheesville_12186,NY
7428 Birchwood Street,Albany_12209,NY
1 Novick Avenue,East Berne_12059,NY
64 Maryland Terrace,Albany_12224,NY
1077 Vermont Center,East Berne_12059,NY
1394 Myrtle Terrace,Albany_12247,NY
09 Quincy Plaza,Voorheesville_12186,NY
3 Welch Crossing,Albany_12201,NY
577 Dwight Street,Feura Bush_12067,NY
8 Steensland Pass,Albany_12209,NY
7465 Fuller Trail,Latham_12128,NY
50957 Texas Court,Albany_12225,NY
73 Bonner Road,Menands_12204,NY
88 Barby Trail,Guilderland Center_12085,NY
27 Butterfield Court,Albany_12201,NY
341 Merrick Parkway,Mckownville_12203,NY
16 Eagan Point,Coeymans Hollow_12046,NY
35253 Mariners Cove Street,Albany_12201,NY
4 Monterey Street,Albany_12224,NY
34724 Gerald Crossing,East Berne_12059,NY
63 Vera Place,South Bethlehem_12161,NY
87 David Court,Latham_12110,NY
180 Miller Parkway,Albany_12205,NY
1 Milwaukee Way,Knox_12107,NY
33913 Northview Lane,Albany_12203,NY
38 Birchwood Lane,Ravena_12143,NY
8 Mitchell Circle,Glenmont_12077,NY
9 Lakewood Circle,Watervliet_12189,NY
53037 Manley Pass,Cohoes_12047,NY
69020 Kedzie Avenue,Delmar_12054,NY
172 Oxford Park,Newtonville_12128,NY
649 1st Park,Dormansville_12055,NY
04890 Welch Point,Slingerlands_12159,NY
422 Lawn Road,Green Island_12183,NY
25 Corry Plaza,Albany_12260,NY
64 Pine View Point,Albany_12226,NY
24 Waxwing Park,Dormansville_12055,NY
44 Sauthoff Parkway,Albany_12225,NY
0355 Sherman Pass,Ravena_12143,NY
07987 Corry Alley,Albany_12204,NY
30126 Northport Street,Latham_12110,NY
6 Dwight Trail,Guilderland Center_12085,NY
626 Delladonna Center,Newtonville_12128,NY
910 Clemons Way,Menands_12204,NY
90 Grasskamp Avenue,Green Island_12183,NY
92035 Caliangt Pass,Medusa_12120,NY
28 Nevada Plaza,Latham_12110,NY
0 Little Fleur Hill,Albany_12210,NY
77655 2nd Junction,Albany_12202,NY
9772 American Ash Avenue,Alcove_12007,NY
8779 Corry Lane,Menands_12204,NY
908 Warner Point,Albany_12227,NY
8 Bluestem Junction,Menands_12204,NY
300 Stuart Way,Albany_12207,NY
81 Fairfield Place,Albany_12201,NY
303 Annamark Circle,Ravena_12143,NY
7 Carpenter Drive,Voorheesville_12186,NY
20736 Marquette Road,Delmar_12054,NY
4569 Fieldstone Avenue,Loudonville_12211,NY
4760 Glendale Junction,Albany_12260,NY
7521 Granby Trail,Colonie_12205,NY
4 Northwestern Street,East Berne_12059,NY
4568 Pleasure Circle,Mckownville_12203,NY
07541 Memorial Junction,Voorheesville_12186,NY
0452 Valley Edge Center,Green Island_12183,NY
12395 Hermina Road,Voorheesville_12186,NY
20732 Nobel Way,Troy_12183,NY
99 Gerald Crossing,Guilderland Center_12085,NY
5241 Donald Center,Loudonville_12211,NY
58 Marquette Junction,Troy_12183,NY
91 Maple Wood Place,Berne_12023,NY
2 Fuller Parkway,Altamont_12009,NY
5 Westerfield Road,Rensselaerville_12147,NY
923 Southridge Junction,Albany_12211,NY
4 Melby Alley,Ravena_12143,NY
15 Annamark Trail,Knox_12107,NY
05450 Shasta Street,Albany_12201,NY
856 Oakridge Lane,South Bethlehem_12161,NY
62 Mcguire Terrace,Albany_12220,NY
7 Walton Point,Newtonville_12110,NY
45 Logan Terrace,Ravena_12143,NY
87 Weeping Birch Street,Albany_12224,NY
7 Eggendart Way,Albany_12205,NY
3562 Pleasure Center,Albany_12260,NY
796 Northridge Way,South Bethlehem_12161,NY
114 Cordelia Road,Troy_12183,NY
42 Scofield Place,Albany_12209,NY
9 Straubel Plaza,Altamont_12009,NY
5 Dottie Drive,Albany_12203,NY
87 Village Green Crossing,Albany_12202,NY
287 Scott Street,Rensselaerville_12147,NY
5938 Annamark Hill,Preston Hollow_12469,NY
6115 Corben Parkway,Colonie_12205,NY
2 Dorton Hill,Cohoes_12047,NY
878 Waywood Road,Altamont_12009,NY
8616 Butternut Court,Siena_12211,NY
8551 Anthes Crossing,Siena_12211,NY
219 Mcbride Terrace,Albany_12201,NY
98 Onsgard Parkway,Glenmont_12077,NY
8184 Hansons Pass,Guilderland Center_12085,NY
83024 Talisman Crossing,Albany_12208,NY
80014 Stephen Alley,Albany_12212,NY
776 Crescent Oaks Park,Albany_12224,NY
2 Mockingbird Street,Coeymans Hollow_12046,NY
2097 Bunting Drive,Siena_12211,NY
06377 Welch Place,Albany_12205,NY
8 Eastwood Way,Albany_12247,NY
3 Green Road,Coeymans_12045,NY
8 Sutherland Crossing,Loudonville_12211,NY
6547 Center Place,Glenmont_12077,NY
2 Warbler Avenue,Coeymans Hollow_12046,NY
86179 Valley Edge Court,Voorheesville_12186,NY
85072 Prairie Rose Park,Delmar_12054,NY
6745 Merry Alley,Roessleville_12205,NY
742 Hansons Crossing,Siena_12211,NY
7 Delaware Lane,Roessleville_12205,NY
727 Messerschmidt Court,Albany_12227,NY
3992 Sommers Terrace,Albany_12224,NY
114 Sachs Avenue,Dormansville_12055,NY
592 Lawn Place,Albany_12227,NY
25783 Petterle Point,Medusa_12120,NY
35485 Bartillon Point,Colonie_12205,NY
17534 Larry Place,South Bethlehem_12161,NY
815 Utah Circle,Dormansville_12055,NY
3 Sachtjen Pass,Newtonville_12110,NY
16926 Harper Circle,Loudonville_12211,NY
4 Monica Way,Dormansville_12055,NY
45 Michigan Junction,Ravena_12143,NY
2 Melrose Street,Slingerlands_12159,NY
5 Del Mar Point,Slingerlands_12159,NY
4 Arkansas Pass,Altamont_12009,NY
3044 Anzinger Pass,Albany_12247,NY
6334 Hoard Trail,Coeymans Hollow_12046,NY
435 Rusk Trail,Mckownville_12203,NY
7 Northport Pass,Albany_12260,NY
33258 Hanson Center,Alcove_12007,NY
948 Upham Center,Albany_12203,NY
07866 Stephen Crossing,Newtonville_12110,NY
4 Granby Terrace,Knox_12107,NY
7 Pankratz Avenue,Newtonville_12128,NY
63 Crest Line Junction,Menands_12204,NY
65 Lukken Lane,Guilderland Center_12085,NY
7 Graceland Hill,Albany_12223,NY
470 Lerdahl Junction,Berne_12023,NY
49 Londonderry Street,Slingerlands_12159,NY
702 Victoria Parkway,Albany_12207,NY
068 Harbort Drive,Preston Hollow_12469,NY
34630 Springs Pass,Albany_12207,NY
45 Alpine Place,Siena_12211,NY
22 School Junction,Albany_12227,NY
253 Green Ridge Road,Albany_12207,NY
9362 South Way,South Bethlehem_12161,NY
4 Schurz Point,Albany_12220,NY
53434 American Ash Pass,Guilderland_12084,NY
1003 Corry Park,Newtonville_12128,NY
6 Schlimgen Parkway,Medusa_12120,NY
4 Lakewood Gardens Hill,Preston Hollow_12469,NY
97 Chive Avenue,Watervliet_12189,NY
292 Manley Lane,Clarksville_12041,NY
215 Hoepker Plaza,Colonie_12205,NY
6003 Dwight Drive,Albany_12205,NY
4 Brown Drive,Voorheesville_12186,NY
0285 Cambridge Plaza,Latham_12110,NY
30 Forest Way,Albany_12208,NY
49314 Ruskin Crossing,Berne_12023,NY
694 Dovetail Junction,Watervliet_12189,NY
455 Spohn Hill,Preston Hollow_12469,NY
10 East Way,Albany_12206,NY
8 Moulton Plaza,Latham_12110,NY
13413 Columbus Lane,Coeymans_12045,NY
3612 Namekagon Drive,Roessleville_12205,NY
1685 Victoria Way,Albany_12212,NY
88 Vidon Point,Roessleville_12205,NY
78 Sachs Way,Albany_12204,NY
8 Warrior Avenue,Newtonville_12110,NY
9 Toban Alley,Loudonville_12211,NY
4419 Center Center,Albany_12204,NY
5748 Florence Place,Albany_12211,NY
8 Darwin Parkway,Knox_12107,NY
2529 Dorton Alley,Siena_12211,NY
367 Union Place,Albany_12210,NY
730 Forest Dale Hill,Albany_12225,NY
3268 Shopko Street,Albany_12223,NY
29343 Walton Parkway,Altamont_12009,NY
67 Fallview Park,Delmar_12054,NY
27 Springview Trail,Albany_12211,NY
4374 Eagan Street,Loudonville_12211,NY
338 Pearson Point,Albany_12206,NY
017 Meadow Valley Drive,Selkirk_12158,NY
61 Dahle Pass,Watervliet_12189,NY
8 Eastwood Point,Medusa_12120,NY
09 Bellgrove Road,Alcove_12007,NY
66 Northport Center,Coeymans Hollow_12046,NY
73821 Nelson Hill,Dormansville_12055,NY
3206 Autumn Leaf Lane,Albany_12209,NY
7 Hermina Alley,Preston Hollow_12469,NY
97952 Anniversary Hill,Green Island_12183,NY
73289 Hoffman Crossing,Newtonville_12128,NY
1 Waxwing Parkway,Albany_12204,NY
629 Golden Leaf Avenue,Cohoes_12047,NY
47478 Rusk Trail,Menands_12204,NY
8934 Golf View Place,Watervliet_12189,NY
257 Pine View Drive,Altamont_12009,NY
5 Kensington Point,Albany_12260,NY
120 Maple Wood Drive,Albany_12204,NY
05 Division Place,Albany_12210,NY
38 La Follette Parkway,East Berne_12059,NY
3 American Ash Junction,Delmar_12054,NY
53 Doe Crossing Hill,Watervliet_12189,NY
017 Hudson Hill,Glenmont_12077,NY
83823 Lotheville Alley,Newtonville_12128,NY
20 Fordem Drive,Preston Hollow_12469,NY
5694 Green Hill,Albany_12206,NY
8492 Acker Avenue,Albany_12201,NY
73 Stone Corner Junction,Guilderland_12084,NY
63 Shopko Alley,Albany_12227,NY
4544 Crest Line Trail,Glenmont_12077,NY
8383 Arkansas Lane,Newtonville_12110,NY
33 Ohio Court,Loudonville_12211,NY
44313 Sachs Pass,Loudonville_12211,NY
8463 Tomscot Way,Roessleville_12205,NY
90 Hazelcrest Road,Selkirk_12158,NY
4443 Canary Point,Coeymans Hollow_12046,NY
475 Melvin Parkway,Rensselaerville_12147,NY
9731 Memorial Park,Watervliet_12189,NY
1 Loeprich Alley,Mckownville_12203,NY
7421 Waywood Pass,Albany_12211,NY
41662 Stang Terrace,Knox_12107,NY
3139 Autumn Leaf Pass,Albany_12210,NY
3 Elgar Avenue,Albany_12206,NY
5964 Doe Crossing Lane,Albany_12260,NY
95 Portage Way,Altamont_12009,NY
41 Jenifer Pass,Newtonville_12128,NY
49 Crownhardt Junction,Berne_12023,NY
43 Packers Point,Roessleville_12205,NY
3683 Sunfield Junction,Guilderland Center_12085,NY
7 Golf Circle,Rensselaerville_12147,NY
8 Logan Crossing,Albany_12211,NY
5 Bultman Drive,Rensselaerville_12147,NY
15 Comanche Pass,Guilderland Center_12085,NY
497 Mandrake Alley,Albany_12201,NY
